case,body,trailer,make,model,modelyr
1,34,0,7,482,2001
2,34,0,12,471,2003
4,14,0,23,401,2000
5,14,0,49,401,2004
6,34,0,20,481,2015
6,6,0,37,32,2010
6,4,0,58,37,2006
7,14,0,24,401,2006
8,14,0,12,401,1996
8,34,1,23,481,2009
8,4,0,6,18,2015
9,4,0,54,35,2003
9,14,0,12,401,2016
10,34,0,7,482,2005
10,2,0,24,2,2000
11,34,0,7,482,2002
12,15,0,12,422,1998
12,61,0,20,870,2013
13,21,0,12,461,2002
14,6,0,53,33,2006
15,34,0,12,481,1989
16,4,0,48,38,2004
16,66,1,82,881,2004
17,14,0,2,405,2010
18,66,1,51,881,2016
18,34,0,49,472,2003
18,15,0,20,421,2008
19,14,0,12,401,2000
19,4,0,49,40,2013
20,4,0,21,21,1999
21,4,0,18,7,2003
22,34,0,20,481,2003
22,66,1,87,884,2014
22,4,0,14,21,2009
23,34,0,12,471,1990
24,14,0,12,401,2000
25,14,0,58,401,1997
25,61,0,23,882,2005
25,4,0,37,31,2002
26,4,0,37,31,1999
26,4,0,55,33,2013
26,4,0,52,40,2003
27,34,0,7,472,2000
28,4,0,49,40,2003
28,34,1,12,481,1999
29,6,0,6,52,2002
31,4,0,13,13,2011
31,3,0,37,31,1991
32,4,0,49,32,1989
33,34,0,49,482,2002
34,4,0,55,36,2013
34,4,0,6,43,2004
35,99,0,99,999,9999
36,3,0,37,31,1998
36,2,0,22,16,2002
37,14,0,49,402,2012
38,64,0,7,881,2013
38,4,0,49,43,2000
39,4,0,35,47,2010
40,20,0,20,443,2002
41,14,0,49,401,1995
41,4,0,63,38,2015
42,34,0,12,481,2001
42,20,0,35,443,2000
42,4,0,6,51,2006
43,20,0,6,442,2000
43,66,1,85,881,2014
44,90,0,53,734,2008
44,14,0,55,401,2013
45,34,0,12,471,1996
45,63,1,98,804,2014
46,4,0,52,46,2004
47,40,0,49,472,2001
47,63,0,87,884,2012
48,21,0,23,461,1999
49,34,0,7,482,2003
50,9,0,99,399,9999
51,14,0,37,401,1995
52,21,0,23,461,1989
53,34,0,20,481,1991
54,80,0,71,706,2016
55,14,0,12,401,1996
56,4,0,54,35,2009
56,4,0,20,2,2006
57,4,0,49,40,1993
57,34,0,20,481,2011
57,6,0,2,1,2007
58,4,0,20,37,2011
58,67,0,20,880,2006
59,6,0,20,24,2009
60,4,0,37,31,2010
60,66,1,87,884,1998
61,15,0,23,421,2003
62,2,0,55,37,2001
63,2,0,37,33,1987
63,14,0,37,402,2005
64,4,0,30,40,2000
64,4,0,35,47,2005
65,4,0,35,47,2014
66,14,0,7,402,2001
66,80,0,37,705,2005
67,14,0,35,401,1998
68,34,0,7,482,2016
69,4,0,51,47,2002
70,9,0,99,399,9999
71,4,0,13,12,2001
72,34,0,7,472,2000
73,14,0,37,402,1998
74,80,0,72,706,2014
75,15,0,20,421,2005
75,80,0,53,705,2001
76,34,0,12,481,1999
76,4,0,6,51,2008
76,4,0,30,40,2012
77,4,0,34,34,2003
78,34,0,7,482,1999
79,6,0,48,34,2000
79,4,0,7,20,2003
80,5,0,37,37,2010
80,4,0,20,37,2005
80,15,0,20,421,2007
80,71,0,98,806,2016
