case,year,par,repjur
1,2017,E628946,2.0
2,2017,E627989,26.0
4,2017,3747633,263.0
5,2017,E628691,4.0
6,2017,3746306,263.0
6,2017,3746306,263.0
6,2017,3746306,263.0
7,2017,E629178,5.0
8,2017,E629981,6.0
8,2017,E629981,6.0
8,2017,E629981,6.0
9,2017,E632204,4.0
9,2017,E632204,4.0
10,2017,E632128,8.0
10,2017,E632128,8.0
11,2017,E630209,40.0
12,2017,E631317,7.0
12,2017,E631317,7.0
13,2017,E630362,42.0
14,2017,E631092,83.0
15,2017,E631425,35.0
16,2017,E632347,6.0
16,2017,E632347,6.0
17,2017,E634438,3.0
18,2017,E631960,2.0
18,2017,E631960,2.0
18,2017,E631960,2.0
19,2017,E634659,7.0
19,2017,E634659,7.0
20,2017,E633291,184.0
21,2017,E634199,8.0
22,2017,E635015,1.0
22,2017,E635015,1.0
22,2017,E635015,1.0
23,2017,E634599,22.0
24,2017,E634770,35.0
25,2017,E634964,8.0
25,2017,E634964,8.0
25,2017,E634964,8.0
26,2017,E635844,1.0
26,2017,E635844,1.0
26,2017,E635844,1.0
27,2017,E636880,4.0
28,2017,E636871,1.0
28,2017,E636871,1.0
29,2017,E636762,122.0
31,2017,E638169,8.0
31,2017,E638169,8.0
32,2017,E636978,35.0
33,2017,E636017,1.0
34,2017,E637343,1.0
34,2017,E637343,1.0
35,2017,E631434,305.0
36,2017,E637961,5.0
36,2017,E637961,5.0
37,2017,3753857,263.0
38,2017,E635532,25.0
38,2017,E635532,25.0
39,2017,E638933,337.0
40,2017,E633587,25.0
41,2017,E648561,3.0
41,2017,E648561,3.0
42,2017,E642159,2.0
42,2017,E642159,2.0
42,2017,E642159,2.0
43,2017,E639820,1.0
43,2017,E639820,1.0
44,2017,E643131,1.0
44,2017,E643131,1.0
45,2017,E638895,4.0
45,2017,E638895,4.0
46,2017,E639471,14.0
47,2017,E643622,5.0
47,2017,E643622,5.0
48,2017,3762437,263.0
49,2017,3762593,263.0
50,2017,E641865,25.0
51,2017,E640687,7.0
52,2017,E650617,6.0
53,2017,E641243,278.0
54,2017,E644790,7.0
55,2017,E642403,1.0
56,2017,3398254,160.0
56,2017,3398254,160.0
57,2017,E643387,3.0
57,2017,E643387,3.0
57,2017,E643387,3.0
