case,crash_dt,crash_tm,numfatal,crashtype
1,01/01/2017,2:12,1,2
2,01/02/2017,17:14,1,1
4,01/01/2017,18:47,1,13
5,01/01/2017,3:50,1,13
6,01/05/2017,9:53,1,89
6,01/05/2017,9:53,1,88
6,01/05/2017,9:53,1,98
7,01/06/2017,18:48,1,13
8,01/07/2017,14:12,1,28
8,01/07/2017,14:12,1,98
8,01/07/2017,14:12,1,29
9,01/08/2017,16:39,1,50
9,01/08/2017,16:39,1,51
10,01/08/2017,19:05,1,50
10,01/08/2017,19:05,1,51
11,01/07/2017,9:39,2,15
12,01/11/2017,2:05,1,50
12,01/11/2017,2:05,1,51
13,01/09/2017,6:51,1,2
14,01/06/2017,6:01,1,13
15,01/11/2017,20:23,1,98
16,01/14/2017,3:40,1,24
16,01/14/2017,3:40,1,25
17,01/15/2017,14:21,1,13
18,01/13/2017,18:40,1,20
18,01/13/2017,18:40,1,21
18,01/13/2017,18:40,1,98
19,01/13/2017,21:06,1,24
19,01/13/2017,21:06,1,25
20,01/17/2017,21:05,1,13
21,01/18/2017,0:09,1,98
22,01/19/2017,7:30,1,89
22,01/19/2017,7:30,1,88
22,01/19/2017,7:30,1,98
23,01/21/2017,2:17,1,6
24,01/22/2017,1:59,1,98
25,01/20/2017,13:15,1,50
25,01/20/2017,13:15,1,51
25,01/20/2017,13:15,1,98
26,01/23/2017,17:19,1,64
26,01/23/2017,17:19,1,65
26,01/23/2017,17:19,1,98
27,01/22/2017,21:27,1,13
28,01/22/2017,14:46,1,89
28,01/22/2017,14:46,1,88
29,01/25/2017,6:52,1,1
31,01/27/2017,10:11,1,82
31,01/27/2017,10:11,1,83
32,01/30/2017,12:38,1,5
33,01/07/2017,17:55,2,0
34,01/24/2017,23:20,1,52
34,01/24/2017,23:20,1,52
35,01/11/2017,17:00,1,13
36,01/23/2017,20:10,1,50
36,01/23/2017,20:10,1,51
37,01/13/2017,15:07,1,13
38,01/17/2017,22:43,1,83
38,01/17/2017,22:43,1,82
39,01/29/2017,19:14,1,13
