case,x,y,county,co_char,city,trafid1,trafid2
1,-122.1756167,48.023547222,61,Snohomish,0,I-5,
2,-122.583225,47.431341667,35,Kitsap,0,CR-SE BURLEY OLALLA RD,
4,-122.3364222,47.6887,33,King,1960,WALLINGFORD AVE N,N 82ND ST
5,-117.5334722,47.643175,63,Spokane,2110,US-2,
6,-122.334175,47.601744444,33,King,1960,1ST AVE,COLUMBIA SR
6,-122.334175,47.601744444,33,King,1960,1ST AVE,COLUMBIA SR
6,-122.334175,47.601744444,33,King,1960,1ST AVE,COLUMBIA SR
7,-122.97513329999998,46.709958333,41,Lewis,300,I-5,
8,-121.0397611,47.182491667,37,Kittitas,0,I-90,
8,-121.0397611,47.182491667,37,Kittitas,0,I-90,
8,-121.0397611,47.182491667,37,Kittitas,0,I-90,
9,-118.576325,46.79465,1,Adams,0,SR-26,
9,-118.576325,46.79465,1,Adams,0,SR-26,
10,-122.91798329999999,47.311205556000004,45,Mason,0,SR-3,
10,-122.91798329999999,47.311205556000004,45,Mason,0,SR-3,
11,-117.69021670000001,47.625875,63,Spokane,0,CR-S BROOKS RD,
12,-122.30919170000001,47.546836111000005,33,King,1960,I-5,
12,-122.30919170000001,47.546836111000005,33,King,1960,I-5,
13,-122.69719170000002,47.026111111000006,67,Thurston,0,CR-RESERVATION RD,
14,-122.96055,46.659163889,41,Lewis,310,S MARKET BLVD,4TH ST
15,-122.3571611,47.161141666999995,53,Pierce,0,CR-CANYON RD E,104TH ST E
16,-120.63091670000001,47.04091111100001,37,Kittitas,0,I-90,
16,-120.63091670000001,47.04091111100001,37,Kittitas,0,I-90,
17,-122.54245559999998,47.127125,53,Pierce,1124,I-5,
18,-122.73494720000001,48.99055,73,Whatcom,150,SR-543,BOBLETT ST
18,-122.73494720000001,48.99055,73,Whatcom,150,SR-543,BOBLETT ST
18,-122.73494720000001,48.99055,73,Whatcom,150,SR-543,BOBLETT ST
19,-122.2493472,47.462730556000004,33,King,2310,I-405,
19,-122.2493472,47.462730556000004,33,King,2310,I-405,
20,-122.29379170000001,47.839183333,61,Snohomish,1215,176TH ST SW,
21,-122.62453059999999,47.469713889,35,Kitsap,0,SR-16,
22,-120.59423059999999,46.638813889,77,Yakima,0,US-12,W POWERHOUSE
