case,age,sex,hispanic,race1,race2,race3,race4,race5,zip,licstate,drhgt_in,weight,noncdl,noncdltype,x,y
1,26,1,1.0,,,,,,98204.0,53,71.0,260.0,0.0,0.0,47.901362,-122.260891
2,74,1,7.0,,,,,,98465.0,53,70.0,185.0,6.0,1.0,47.251761,-122.536065
4,27,2,0.0,,,,,,98125.0,53,61.0,125.0,6.0,1.0,47.716513,-122.295829
5,27,2,0.0,,,,,,99021.0,53,65.0,130.0,6.0,1.0,47.848267,-117.189612
6,24,1,0.0,,,,,,98065.0,53,69.0,144.0,6.0,1.0,47.584223,-121.791951
6,49,2,0.0,,,,,,98148.0,53,72.0,170.0,6.0,1.0,47.444098,-122.324859
6,37,1,0.0,,,,,,98199.0,53,70.0,190.0,6.0,1.0,47.651371,-122.407349
7,19,2,0.0,,,,,,98632.0,53,62.0,110.0,6.0,1.0,46.209509,-123.056153
8,21,1,0.0,,,,,,98311.0,53,76.0,200.0,6.0,1.0,47.631197,-122.631017
8,24,1,0.0,,,,,,98934.0,53,68.0,160.0,6.0,1.0,46.981791,-120.414927
8,42,2,0.0,,,,,,98922.0,53,62.0,120.0,6.0,1.0,47.267033,-120.878981
9,20,2,7.0,,,,,,98296.0,53,71.0,175.0,6.0,1.0,47.840783,-122.101084
9,60,1,0.0,,,,,,98012.0,53,68.0,170.0,6.0,1.0,47.841376,-122.198939
10,23,1,0.0,,,,,,98584.0,53,74.0,160.0,6.0,1.0,47.238866,-123.145661
10,18,2,7.0,,,,,,98541.0,53,68.0,135.0,6.0,1.0,47.060731,-123.389742
11,45,2,1.0,,,,,,99011.0,53,64.0,145.0,6.0,1.0,47.618832,-117.648158
12,46,2,7.0,,,,,,97401.0,41,63.0,120.0,1.0,1.0,44.067988,-123.080181
12,29,1,0.0,,,,,,98117.0,53,68.0,200.0,6.0,1.0,47.687761,-122.38487
13,32,1,0.0,,,,,,98597.0,53,62.0,120.0,1.0,1.0,46.844426,-122.492804
14,22,2,0.0,,,,,,98532.0,53,63.0,180.0,6.0,1.0,46.62629,-123.052671
15,24,1,7.0,,,,,,98373.0,53,65.0,155.0,1.0,1.0,47.148479,-122.324136
16,21,2,7.0,,,,,,98922.0,53,66.0,114.0,6.0,1.0,47.267033,-120.878981
16,49,1,0.0,,,,,,85215.0,4,73.0,210.0,6.0,1.0,33.511896,-111.579396
17,25,1,0.0,,,,,,80902.0,8,70.0,190.0,6.0,1.0,38.669371,-104.807956
